@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
11,'2018/02/22 16:13:48:833',1,0.34076,0.34076,0.34076,0.34076,0.34076,0.34076,0.34076,0.34076,1.286497,1.286497,1.286497,1.286497,1.286497,1.286497,1.286497,2.317847,2.317847,2.317847,2.317847,2.317847,2.907794,2.907794,2.907794,2.907794,2.60929,2.60929,2.60929,1.406175,1.406175,1.406175,0.843684,0.843684,1.683786,1.683786,1.848466,1.848466,1.650727,1.650727,1.470783,1.333614,1.333614,1.22205,1.123076,0.869503,0.520835,0.565109,0.678208,0.587173,0.416099,0.277702,0.229708,0.441564,0.796415,0.825168,0.483854,0.142913,0.155444,0.234929,0.345053,0.381519,0.378972,0.161861,0.303725,0.194075,0.18646,0.088157,0.18587,0.18633,0.121387,0.164956,0.141266,0.146158,0.176374,0.187832,0.164417,0.083162,0.052594,0.077659,0.064692,0.113724,0.104428,0.095604,0.086119,0.080265,0.0934,0.03426,0.01607,0.005318,0.007999,0.012681,0.009074,0.010359,0.014138,0.007153,0.004544,0.006556,0.005774,0.00921,0.00583,0.004382,0.004719,0.007593,0.004814,0.004432,?
12,'2018/02/22 16:13:48:849',1,0.997551,0.997551,0.997551,0.997551,0.997551,0.997551,0.997551,0.997551,1.996928,1.996928,1.996928,1.996928,1.996928,1.996928,1.996928,1.954847,1.954847,1.954847,1.954847,1.954847,1.626789,1.626789,1.626789,1.626789,2.575443,2.575443,2.575443,3.506335,3.506335,3.506335,3.55623,3.55623,2.799659,2.799659,1.653735,1.653735,0.77345,0.77345,0.678933,0.620501,0.620501,0.398595,0.268505,0.367902,0.54321,0.542745,0.334522,0.390639,0.530654,0.435258,0.284588,0.351368,0.411415,0.291146,0.343918,0.411969,0.45108,0.365232,0.299715,0.129446,0.295744,0.307403,0.209417,0.319331,0.18699,0.067128,0.101669,0.177299,0.2028,0.154756,0.239362,0.167905,0.110396,0.246827,0.162761,0.102656,0.236674,0.059946,0.115324,0.069318,0.119431,0.1165,0.084493,0.08071,0.05445,0.063007,0.025515,0.01623,0.011973,0.013437,0.016973,0.011287,0.008665,0.009954,0.008003,0.010282,0.009145,0.006404,0.007157,0.007639,0.00736,0.005676,0.006687,0.007131,?
13,'2018/02/22 16:13:48:866',1,0.812203,0.812203,0.812203,0.812203,0.812203,0.812203,0.812203,0.812203,1.321041,1.321041,1.321041,1.321041,1.321041,1.321041,1.321041,1.308258,1.308258,1.308258,1.308258,1.308258,1.293853,1.293853,1.293853,1.293853,1.675026,1.675026,1.675026,1.955694,1.955694,1.955694,1.775143,1.775143,1.158518,1.158518,0.546178,0.546178,0.63484,0.63484,0.670289,0.582812,0.582812,0.587176,0.47847,0.258366,0.203728,0.233776,0.230196,0.252178,0.279308,0.239276,0.165719,0.132002,0.049431,0.173601,0.193065,0.319255,0.270148,0.154908,0.216861,0.221541,0.10368,0.140899,0.137872,0.065472,0.113222,0.339988,0.315613,0.413632,0.282443,0.15956,0.237238,0.142388,0.133814,0.144136,0.14552,0.168491,0.214406,0.149288,0.089455,0.134785,0.122898,0.103837,0.134214,0.067574,0.145545,0.043457,0.021594,0.017561,0.012427,0.021012,0.01466,0.009882,0.015177,0.012304,0.008005,0.012481,0.008104,0.008665,0.009083,0.006292,0.009318,0.006731,0.008113,0.007263,?
14,'2018/02/22 16:13:48:883',1,1.160842,1.160842,1.160842,1.160842,1.160842,1.160842,1.160842,1.160842,1.132116,1.132116,1.132116,1.132116,1.132116,1.132116,1.132116,0.440546,0.440546,0.440546,0.440546,0.440546,1.160494,1.160494,1.160494,1.160494,2.190324,2.190324,2.190324,2.323031,2.323031,2.323031,1.565604,1.565604,0.395481,0.395481,0.516077,0.516077,0.65877,0.65877,0.315714,0.23101,0.23101,0.453618,0.381084,0.349095,0.636977,0.838537,0.884081,0.831803,0.661404,0.367488,0.198591,0.332683,0.293381,0.232927,0.287848,0.35352,0.244423,0.452183,0.818979,0.820669,0.592569,0.382378,0.152529,0.088686,0.137618,0.157605,0.113142,0.243941,0.253843,0.160758,0.421092,0.23349,0.315189,0.284308,0.101392,0.26699,0.195819,0.164475,0.170809,0.174373,0.062494,0.131535,0.155201,0.063012,0.078459,0.027083,0.015795,0.021912,0.013084,0.012436,0.015749,0.014416,0.015217,0.009669,0.008738,0.007376,0.012751,0.009171,0.007765,0.005962,0.006838,0.009725,0.006741,0.004201,?
15,'2018/02/22 16:13:48:899',1,0.577674,0.577674,0.577674,0.577674,0.577674,0.577674,0.577674,0.577674,1.677595,1.677595,1.677595,1.677595,1.677595,1.677595,1.677595,1.954709,1.954709,1.954709,1.954709,1.954709,1.798131,1.798131,1.798131,1.798131,1.550564,1.550564,1.550564,1.741326,1.741326,1.741326,1.886447,1.886447,1.42145,1.42145,0.431279,0.431279,0.840614,0.840614,1.254339,0.995386,0.995386,0.365181,0.3995,0.776161,0.963833,1.016319,0.957835,0.801157,0.586901,0.451844,0.429935,0.268803,0.051361,0.074136,0.086893,0.090118,0.150373,0.201213,0.356427,0.298519,0.080952,0.277623,0.279296,0.319147,0.202607,0.246962,0.241561,0.232766,0.192313,0.218617,0.205361,0.297177,0.186782,0.242658,0.146636,0.212041,0.068179,0.13369,0.1241,0.078024,0.091232,0.250672,0.248515,0.09355,0.093835,0.052222,0.011105,0.012188,0.01534,0.009561,0.028239,0.017584,0.014807,0.006989,0.009436,0.006416,0.016048,0.010527,0.004996,0.007862,0.007585,0.011002,0.00505,0.005968,?
16,'2018/02/22 16:13:48:916',1,0.993142,0.993142,0.993142,0.993142,0.993142,0.993142,0.993142,0.993142,1.953454,1.953454,1.953454,1.953454,1.953454,1.953454,1.953454,2.025437,2.025437,2.025437,2.025437,2.025437,1.303028,1.303028,1.303028,1.303028,0.430652,0.430652,0.430652,1.474699,1.474699,1.474699,1.950249,1.950249,1.770464,1.770464,1.333449,1.333449,1.03957,1.03957,0.798821,0.451218,0.451218,0.133108,0.065241,0.114374,0.298634,0.529299,0.721337,0.76538,0.612146,0.347217,0.116107,0.224314,0.409737,0.361209,0.36905,0.50708,0.575561,0.483127,0.345398,0.21947,0.126253,0.326168,0.215383,0.189153,0.235638,0.202255,0.14412,0.125797,0.054349,0.127782,0.233659,0.219535,0.097418,0.264791,0.228076,0.308224,0.217186,0.095584,0.191546,0.13661,0.21218,0.198665,0.175079,0.095476,0.128138,0.068371,0.023605,0.027456,0.018076,0.019284,0.023842,0.017061,0.017688,0.011707,0.01426,0.012261,0.013723,0.010921,0.010272,0.011463,0.009702,0.009417,0.010118,0.008924,?
17,'2018/02/22 16:13:48:932',1,0.574016,0.574016,0.574016,0.574016,0.574016,0.574016,0.574016,0.574016,0.851046,0.851046,0.851046,0.851046,0.851046,0.851046,0.851046,1.571411,1.571411,1.571411,1.571411,1.571411,2.063946,2.063946,2.063946,2.063946,1.889406,1.889406,1.889406,1.015402,1.015402,1.015402,0.714059,0.714059,1.347202,1.347202,1.399545,1.399545,1.077183,1.077183,0.77726,0.635373,0.635373,0.544973,0.421387,0.271274,0.160054,0.111746,0.180131,0.333454,0.456368,0.469521,0.332517,0.155026,0.408274,0.488886,0.662561,0.7589,0.364863,0.37936,0.586549,0.232041,0.438627,0.328613,0.18809,0.311194,0.400851,0.241102,0.270431,0.205845,0.141746,0.455094,0.229084,0.300814,0.286319,0.268513,0.389497,0.154812,0.20959,0.325176,0.268624,0.100563,0.219401,0.329496,0.198529,0.135386,0.220673,0.122944,0.034168,0.018553,0.027444,0.019173,0.032683,0.014832,0.02814,0.0164,0.014136,0.014276,0.015983,0.01354,0.012619,0.011637,0.013026,0.010817,0.010911,0.011334,?
18,'2018/02/22 16:13:48:949',1,0.969959,0.969959,0.969959,0.969959,0.969959,0.969959,0.969959,0.969959,2.715478,2.715478,2.715478,2.715478,2.715478,2.715478,2.715478,3.287479,3.287479,3.287479,3.287479,3.287479,2.931162,2.931162,2.931162,2.931162,1.695849,1.695849,1.695849,1.055093,1.055093,1.055093,1.766357,1.766357,1.900977,1.900977,1.639821,1.639821,1.155489,1.155489,0.557065,0.52271,0.52271,0.547311,0.2658,0.388119,0.666102,0.720627,0.499291,0.170082,0.420417,0.544467,0.415705,0.212296,0.316117,0.527623,0.646284,0.662073,0.504332,0.313684,0.346157,0.210219,0.152684,0.37523,0.356411,0.316916,0.216392,0.271986,0.324815,0.28637,0.146506,0.130201,0.179965,0.260558,0.20148,0.115544,0.159794,0.335454,0.227585,0.280567,0.081824,0.11042,0.205942,0.141418,0.153741,0.142475,0.170568,0.105281,0.02786,0.023044,0.021097,0.017203,0.021551,0.019845,0.02446,0.017994,0.013389,0.008381,0.01406,0.013097,0.014658,0.007206,0.01186,0.009831,0.010484,0.008068,?
19,'2018/02/22 16:13:48:965',1,0.690321,0.690321,0.690321,0.690321,0.690321,0.690321,0.690321,0.690321,2.362369,2.362369,2.362369,2.362369,2.362369,2.362369,2.362369,2.902677,2.902677,2.902677,2.902677,2.902677,2.760062,2.760062,2.760062,2.760062,1.977443,1.977443,1.977443,0.924571,0.924571,0.924571,0.449796,0.449796,0.724956,0.724956,0.647623,0.647623,0.209177,0.209177,0.675697,1.058446,1.058446,0.965328,0.539299,0.238741,0.407578,0.470795,0.465787,0.448194,0.345021,0.194997,0.249483,0.348728,0.270765,0.324942,0.591051,0.750575,0.655685,0.500968,0.342054,0.11136,0.254758,0.379737,0.171731,0.069704,0.078533,0.215444,0.062771,0.146297,0.224749,0.218641,0.14504,0.20514,0.179066,0.334552,0.374675,0.248255,0.298144,0.183909,0.121179,0.165237,0.259459,0.191155,0.12376,0.102277,0.066942,0.059982,0.028343,0.020322,0.01169,0.020672,0.025868,0.010576,0.012589,0.016109,0.008875,0.010484,0.012913,0.009007,0.01081,0.006158,0.009557,0.008919,0.008172,0.007469,?
20,'2018/02/22 16:13:48:983',1,1.025704,1.025704,1.025704,1.025704,1.025704,1.025704,1.025704,1.025704,1.787652,1.787652,1.787652,1.787652,1.787652,1.787652,1.787652,2.497065,2.497065,2.497065,2.497065,2.497065,2.993811,2.993811,2.993811,2.993811,3.092146,3.092146,3.092146,2.74524,2.74524,2.74524,2.08226,2.08226,1.408036,1.408036,1.035014,1.035014,1.076024,1.076024,1.35038,1.531888,1.531888,1.511428,1.379424,1.237823,1.100392,0.930152,0.708127,0.455313,0.237972,0.194219,0.232955,0.276846,0.356516,0.303307,0.210937,0.400318,0.488219,0.145113,0.310676,0.345033,0.112221,0.245566,0.073114,0.12746,0.174406,0.116564,0.20884,0.226571,0.195269,0.1706,0.34571,0.348764,0.287393,0.298919,0.21121,0.342144,0.17282,0.202371,0.179926,0.163321,0.339511,0.198795,0.177739,0.134879,0.113837,0.053419,0.021624,0.024145,0.027028,0.02847,0.026073,0.017682,0.017928,0.015659,0.016137,0.016343,0.014083,0.009715,0.013554,0.011596,0.013592,0.007317,0.012749,0.011277,?
